Client,Vehicle,Date,PaidInFull
SLE32,VHC2,2019-11-18,1899-12-30
SLE38,VHC86,2019-02-20,1899-12-30
SLE16,VHC109,2019-06-16,1899-12-31
SLE12,VHC102,2019-12-01,1899-12-30
SLE26,VHC177,2019-08-20,1899-12-30
SLE26,VHC149,2019-03-23,1899-12-30
SLE5,VHC83,2019-01-01,1899-12-31
SLE26,VHC92,2019-01-10,1899-12-30
SLE28,VHC121,2019-08-07,1899-12-30
SLE14,VHC36,2019-03-19,1899-12-31
SLE28,VHC182,2019-02-26,1899-12-31
SLE35,VHC92,2019-11-01,1899-12-30
SLE45,VHC93,2019-08-16,1899-12-31
SLE18,VHC140,2019-04-14,1899-12-30
SLE7,VHC22,2019-06-03,1899-12-31
SLE24,VHC37,2019-08-07,1899-12-31
SLE3,VHC52,2019-10-19,1899-12-31
SLE9,VHC128,2019-08-21,1899-12-31
SLE11,VHC70,2019-09-28,1899-12-30
SLE27,VHC190,2019-12-29,1899-12-30
SLE39,VHC185,2019-11-22,1899-12-30
SLE36,VHC199,2019-05-25,1899-12-31
SLE9,VHC113,2019-02-03,1899-12-30
SLE7,VHC130,2019-01-21,1899-12-30
SLE33,VHC89,2019-04-16,1899-12-30
SLE1,VHC184,2019-04-01,1899-12-31
SLE38,VHC147,2019-01-06,1899-12-30
SLE18,VHC186,2019-05-19,1899-12-30
SLE11,VHC16,2019-02-06,1899-12-31
SLE38,VHC102,2019-08-10,1899-12-30
SLE36,VHC23,2019-02-02,1899-12-30
SLE35,VHC151,2019-03-04,1899-12-31
SLE18,VHC123,2019-06-27,1899-12-31
SLE20,VHC96,2019-01-13,1899-12-31
SLE4,VHC69,2019-04-07,1899-12-31
SLE16,VHC93,2019-05-07,1899-12-31
SLE12,VHC193,2019-03-14,1899-12-30
SLE23,VHC120,2019-09-22,1899-12-30
SLE23,VHC124,2019-04-23,1899-12-31
SLE20,VHC9,2019-09-21,1899-12-30
SLE45,VHC137,2019-03-18,1899-12-30
SLE23,VHC82,2019-06-27,1899-12-31
SLE26,VHC29,2019-04-27,1899-12-31
SLE7,VHC6,2019-05-20,1899-12-30
SLE18,VHC3,2019-04-20,1899-12-30
SLE15,VHC163,2019-10-24,1899-12-30
SLE32,VHC25,2019-01-17,1899-12-31
SLE14,VHC34,2019-11-06,1899-12-31
SLE16,VHC121,2019-11-05,1899-12-31
